espn_venue,espn_venue_norm,match,matched_stadium,City,State,lat,lon
Foster Baseball Field at McGowan Stadium,foster baseball field at mcgowan stadium,True,Foster Baseball Field at McGowan Stadium,Lorman[v],MS,31.8204396,-91.0501057
Founders Park,founders park,True,Founders Park,Columbia,SC,33.9866662,-81.0427024
Fowler Park and Cunningham Field,fowler park and cunningham field,True,Fowler Park and Cunningham Field,San Diego,CA,32.7174202,-117.162772
Frank Vieira Field,frank vieira field,True,Frank Vieira Field,West Haven,CT,41.2706527,-72.9470471
Franklin Field,franklin field,True,Franklin Field,Franklin,WI,42.9179507,-88.015829
Gary Hogan Field,gary hogan field,True,Gary Hogan Field,Little Rock,AR,34.7294078,-92.3299355
German American Bank Field at Charles H. Braun Stadium,german american bank field at charles h. braun stadium,True,German American Bank Field at Charles H. Braun Stadium,Evansville,IN,37.970495,-87.5715641
Goodwin Field,goodwin field,True,Goodwin Field,Fullerton,CA,33.8869736,-117.8852303
Goss Stadium at Coleman Field,goss stadium at coleman field,True,Goss Stadium at Coleman Field,Corvallis,OR,44.5645659,-123.2620435
Greenwood Baseball Field,greenwood baseball field,True,Greenwood Baseball Field,Asheville,NC,35.595363,-82.5508407
Hammons Field,hammons field,True,Hammons Field,Springfield,MO,37.2115065,-93.2799584
Hawkins Field,hawkins field,True,Hawkins Field,Nashville,TN,36.1433436,-86.807492
Hi Corbett Field,hi corbett field,True,Hi Corbett Field,Tucson,AZ,32.2130633,-110.9193708
Hoglund Ballpark,hoglund ballpark,True,Hoglund Ballpark,Lawrence,KS,38.9527818,-95.2526994
Horner Ballpark,horner ballpark,True,Horner Ballpark,Dallas,TX,32.7118563,-96.9453641
Husky Ballpark,husky ballpark,True,Husky Ballpark,Seattle,WA,47.654838,-122.2985888
Husky Field,husky field,True,Husky Field,Houston,TX,29.6920849,-95.5132999
Illinois Field,illinois field,True,Illinois Field,Champaign,IL,40.096983,-88.2295939
Itchy Jones Stadium,itchy jones stadium,True,Itchy Jones Stadium,Carbondale,IL,37.7274692,-89.216655
J. I. Clements Stadium,j. i. clements stadium,True,J. I. Clements Stadium,Statesboro,GA,32.4490141,-81.7832912
J. L. Johnson Stadium,j. l. johnson stadium,True,J. L. Johnson Stadium,Tulsa,OK,36.0497922,-95.948943
Jack Cook Field,jack cook field,True,Jack Cook Field,Huntington,WV,38.4285036,-82.420236
Jack Coombs Field,jack coombs field,True,Jack Coombs Field,Durham,NC,35.996653,-78.9018053
Jack Kaiser Stadium,jack kaiser stadium,True,Jack Kaiser Stadium,Queens,NY,40.7135078,-73.8283132
Jackie Robinson Ballpark,jackie robinson ballpark,True,Jackie Robinson Ballpark,Daytona,FL,29.209921,-81.016192
Jackie Robinson Stadium,jackie robinson stadium,True,Jackie Robinson Stadium,Los Angeles,CA,34.0592515,-118.4592399
Jaycees Field,jaycees field,True,Jaycees Field,Nacogdoches,TX,31.5970503,-94.5927451
Jerry D. Young Memorial Field,jerry d. young memorial field,True,Jerry D. Young Memorial Field,Birmingham,AL,33.5206824,-86.8024326
Jim Patterson Stadium,jim patterson stadium,True,Jim Patterson Stadium,Louisville,KY,38.2057696,-85.7623635
Jim Perry Stadium,jim perry stadium,True,Jim Perry Stadium,Buies Creek,NC,35.4100867,-78.7352846
Joe Etzel Field,joe etzel field,True,Joe Etzel Field,Portland,OR,45.5739856,-122.72924
Joe Miller Ballpark,joe miller ballpark,True,Joe Miller Ballpark,Lake Charles,LA,30.1732004,-93.2130354
Joe Nathan Field,joe nathan field,True,Joe Nathan Field,Stony Brook,NY,40.9236435,-73.1223455
John B. Schuerholz Baseball Complex,john b. schuerholz baseball complex,True,John B. Schuerholz Baseball Complex,Towson,MD,39.3964591,-76.6148148
John Euliano Park,john euliano park,True,John Euliano Park,Orlando[g],FL,28.5421218,-81.379045
John Sessions Stadium,john sessions stadium,True,John Sessions Stadium,Jacksonville,FL,30.3514967,-81.607633
John Smith Field,john smith field,True,John Smith Field,Sacramento,CA,38.5810606,-121.493895
Ken Dugan Field at Stephen Lee Marsh Stadium,ken dugan field at stephen lee marsh stadium,True,Ken Dugan Field at Stephen Lee Marsh Stadium,Nashville,TN,36.1622767,-86.7742984
Kentucky Proud Park,kentucky proud park,True,Kentucky Proud Park,Lexington,KY,38.0182829,-84.5024638
Klein Family Field,klein family field,True,Klein Family Field,Stockton,CA,37.9577016,-121.290779
Klein Field at Sunken Diamond,klein field at sunken diamond,True,Klein Field at Sunken Diamond,Stanford,CA,37.4265407,-122.1703055
Knights Field,knights field,True,Knights Field,Louisville,KY,38.2542376,-85.759407
Koch Diamond,koch diamond,True,Koch Diamond,St. Paul,MN,44.9497487,-93.0931028
Les Miller Field at Curtis Granderson Stadium,les miller field at curtis granderson stadium,True,Les Miller Field at Curtis Granderson Stadium,Chicago,IL,41.8755616,-87.6244212
Les Murakami Stadium,les murakami stadium,True,Les Murakami Stadium,Honolulu,HI,21.2930535,-157.8164006
Lindsey Nelson Stadium,lindsey nelson stadium,True,Lindsey Nelson Stadium,Knoxville,TN,35.9490901,-83.9294748
Lou Brock Sports Complex,lou brock sports complex,True,Lou Brock Sports Complex,St. Charles,MO,38.7863798,-90.5068302
Lou St. Amant Field,lou st. amant field,True,Lou St. Amant Field,Monroe,LA,32.5025471,-92.116219
Louis Guisto Field,louis guisto field,True,Louis Guisto Field,Moraga,CA,37.8420608,-122.111883
Marty L. Miller Field,marty l. miller field,True,Marty L. Miller Field,Norfolk,VA,36.8493695,-76.2899539
Matador Field,matador field,True,Matador Field,Northridge,CA,34.2448845,-118.5263105
Medlar Field at Lubrano Park,medlar field at lubrano park,True,Medlar Field at Lubrano Park,University Park,PA,40.8123475,-77.8520788
Melching Field at Conrad Park,melching field at conrad park,True,Melching Field at Conrad Park,DeLand,FL,29.0199965,-81.3022631
Mike Martin Field at Dick Howser Stadium,mike martin field at dick howser stadium,True,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,30.4380832,-84.2809332
"Mike Sheppard, Sr. Stadium at Owen T. Carroll Field","mike sheppard, sr. stadium at owen t. carroll field",True,"Mike Sheppard, Sr. Stadium at Owen T. Carroll Field",South Orange,NJ,40.7474966,-74.2635376
Moore–Kittles Field,moore-kittles field,True,Moore–Kittles Field,Tallahassee,FL,30.4380832,-84.2809332
Nick Denes Field,nick denes field,True,Nick Denes Field,Bowling Green,KY,36.9831194,-86.4609561
Nischwitz Stadium,nischwitz stadium,True,Nischwitz Stadium,Dayton[m],OH,39.7589478,-84.1916069
O'Brate Stadium,o'brate stadium,True,O'Brate Stadium,Stillwater,OK,36.1314993,-97.068942
Oestrike Stadium,oestrike stadium,True,Oestrike Stadium,Ypsilanti,MI,42.2577024,-83.6481467
Olga Mural Field at Schoonover Stadium,olga mural field at schoonover stadium,True,Olga Mural Field at Schoonover Stadium,Kent,OH,41.1513108,-81.3578047
Olsen Field at Blue Bell Park,olsen field at blue bell park,True,Olsen Field at Blue Bell Park,College Station,TX,30.6183939,-96.3455991
PK Park,pk park,True,PK Park,Eugene,OR,44.0358767,-123.0579178
Pat Kenelly Diamond at Alumni Field,pat kenelly diamond at alumni field,True,Pat Kenelly Diamond at Alumni Field,Hammond,LA,30.5045759,-90.4759399
Pete Beiden Field at Bob Bennett Stadium,pete beiden field at bob bennett stadium,True,Pete Beiden Field at Bob Bennett Stadium,Fresno,CA,36.7394421,-119.78483
Phoenix Municipal Stadium,phoenix municipal stadium,True,Phoenix Municipal Stadium,Phoenix,AZ,33.4492717,-111.9542209
Plumeri Park,plumeri park,True,Plumeri Park,Williamsburg,VA,37.2898316,-76.7326511
Presley Askew Field,presley askew field,True,Presley Askew Field,Las Cruces,NM,32.2790926,-106.7441217
Ray Fisher Stadium,ray fisher stadium,True,Ray Fisher Stadium,Ann Arbor,MI,42.2674643,-83.7424673
Raymond C. Hand Park,raymond c. hand park,True,Raymond C. Hand Park,Clarksville,TN,36.5379401,-87.356328
Reckling Park,reckling park,True,Reckling Park,Houston,TX,29.7135453,-95.4040634
Reese Smith Jr. Field,reese smith jr. field,True,Reese Smith Jr. Field,Murfreesboro,TN,35.8511274,-86.3665403
Riddle-Pace Field,riddle-pace field,True,Riddle–Pace Field,Troy,AL,31.7982876,-85.9530944
Riverside Sports Complex,riverside sports complex,True,Riverside Sports Complex,Riverside,CA,34.0125145,-117.3564336
Roadrunner Field,roadrunner field,True,Roadrunner Field,San Antonio,TX,31.2900269,-94.737192
Robert and Mariam Hayes Stadium,robert and mariam hayes stadium,True,Robert and Mariam Hayes Stadium,Charlotte,NC,35.3080937,-80.7389536
Russell C. King Field,russell c. king field,True,Russell C. King Field,Spartanburg,SC,34.9589569,-81.9308416
Santa Ana Star Field,santa ana star field,True,Santa Ana Star Field,Albuquerque,NM,35.0841034,-106.650985
Scott Park Baseball Complex,scott park baseball complex,True,Scott Park Baseball Complex,Toledo,OH,41.6529143,-83.5378173
Sewell-Thomas Stadium,sewell-thomas stadium,True,Sewell–Thomas Stadium,Tuscaloosa,AL,33.204971,-87.5385738
Siebert Field,siebert field,True,Siebert Field,Minneapolis,MN,44.9823785,-93.2292882
Skyhawk Baseball Field,skyhawk baseball field,True,Skyhawk Baseball Field,Martin,TN,36.3423557,-88.8709792
Smith's Ballpark,smith's ballpark,True,Smith's Ballpark,Salt Lake City,UT,40.7407084,-111.8935155
Springs Brooks Stadium,springs brooks stadium,True,Springs Brooks Stadium,Conway,SC,33.8360035,-79.0478143
Spuhler Field,spuhler field,True,Spuhler Field,Fairfax,VA,38.8347393,-77.3179923
Stephen Schott Stadium,stephen schott stadium,True,Stephen Schott Stadium,Santa Clara,CA,37.3485285,-121.9313661
Swanson Stadium,swanson stadium,True,Swanson Stadium,Fort Myers[d],FL,26.4702406,-81.7632876
Tal Anderson Field,tal anderson field,True,Tal Anderson Field,Omaha,NE,41.2587459,-95.9383758
Taylor Stadium,taylor stadium,True,Taylor Stadium,Columbia,MO,38.9354971,-92.3388812
Terwilliger Brothers Field at Max Bishop Stadium,terwilliger brothers field at max bishop stadium,True,Terwilliger Brothers Field at Max Bishop Stadium,Annapolis,MD,38.9786401,-76.492786
The Diamond,the diamond,True,The Diamond,Richmond,VA,37.5717189,-77.4632449
Thomas Stadium,thomas stadium,True,Thomas Stadium,Johnson City,TN,36.3104214,-82.3646649
Tointon Family Stadium,tointon family stadium,True,Tointon Family Stadium,Manhattan,KS,39.1991907,-96.5971646
Tomlinson Stadium–Kell Field,tomlinson stadium-kell field,True,Tomlinson Stadium–Kell Field,Jonesboro,AR,35.8348088,-90.7045297
Tony Gwynn Stadium,tony gwynn stadium,True,Tony Gwynn Stadium,San Diego,CA,32.7746981,-117.0780629
Torii Hunter Baseball Complex,torii hunter baseball complex,True,Torii Hunter Baseball Complex,Pine Bluff,AR,34.2548145,-92.016963
Triton Ballpark,triton ballpark,True,Triton Ballpark,La Jolla,CA,32.8816741,-117.2261807
UC Baseball Stadium,uc baseball stadium,True,UC Baseball Stadium,Cincinnati,OH,39.1301459,-84.5137163
UCCU Ballpark,uccu ballpark,True,UCCU Ballpark,Orem,UT,40.2767316,-111.7171294
UFCU Disch-Falk Field,ufcu disch-falk field,True,UFCU Disch–Falk Field,Austin,TX,30.2801248,-97.7261524
UNCG Baseball Stadium,uncg baseball stadium,True,UNCG Baseball Stadium,Greensboro,NC,36.0676415,-79.8133362
USF Baseball Stadium,usf baseball stadium,True,USF Baseball Stadium,Tampa,FL,27.9449854,-82.4583107
USI Baseball Field,usi baseball field,True,USI Baseball Field,Evansville[t],IN,37.9593474,-87.6716753
UTRGV Baseball Stadium,utrgv baseball stadium,True,UTRGV Baseball Stadium,Edinburg,TX,26.3013982,-98.1624501
Van Cortlandt Park,van cortlandt park,True,Van Cortlandt Park,Bronx,NY,40.8970755,-73.8865797
Villanova Ballpark at Plymouth,villanova ballpark at plymouth,True,Villanova Ballpark at Plymouth,Plymouth Meeting,PA,40.102332,-75.2743467
Vincent–Beck Stadium,vincent-beck stadium,True,Vincent–Beck Stadium,Beaumont,TX,30.034805,-94.0749741
Walter C. Latham Park,walter c. latham park,True,Walter C. Latham Park,Elon,NC,36.1029132,-79.5066895
Wheeler–Watkins Baseball Complex,wheeler-watkins baseball complex,True,Wheeler–Watkins Baseball Complex,Montgomery,AL,32.360898,-86.2877731
World War Memorial Stadium,world war memorial stadium,True,World War Memorial Stadium,Greensboro,NC,36.0797983,-79.7782038
Alumni Field (MD),alumni field (md),False,,,,,
Andre Rodgers National Baseball Stadium,andre rodgers national baseball stadium,False,,,,,
Baggett Stadium,baggett stadium,False,,,,,
Ball Diamond at First Merchants Ballpark Complex,ball diamond at first merchants ballpark complex,False,,,,,
Bearcats Baseball Complex,bearcats baseball complex,False,,,,,
Benedetti Diamond,benedetti diamond,False,,,,,
Bill Masters Field at John Henry Moss Stadium,bill masters field at john henry moss stadium,False,,,,,
Blue Wahoos Stadium,blue wahoos stadium,False,,,,,
Bobcat Ballpark (TX),bobcat ballpark (tx),False,,,,,
Bohl Diamond at Blair Field,bohl diamond at blair field,False,,,,,
Brown-Stroud Field,brown-stroud field,False,,,,,
Bryson Field at Boshamer Stadium,bryson field at boshamer stadium,False,,,,,
