event_id,home,away,stadium,City,State,lat,lon,event_date,event_dt_utc,tz_name,event_dt_local,local_date,local_time
401751026,Nebraska,UC Irvine,Haymarket Park,Lincoln,NE,40.8242751,-96.7153685,2025-02-14T20:00Z,2025-02-14 20:00:00+00:00,America/Chicago,2025-02-14 14:00:00-06:00,2025-02-14,14:00
401751780,Troy,Bellarmine,Riddle–Pace Field,Troy,AL,31.7982876,-85.9530944,2025-02-14T22:00Z,2025-02-14 22:00:00+00:00,America/Chicago,2025-02-14 16:00:00-06:00,2025-02-14,16:00
401757200,Stetson,UConn,Melching Field at Conrad Park,DeLand,FL,29.0199965,-81.3022631,2025-02-14T15:00Z,2025-02-14 15:00:00+00:00,America/New_York,2025-02-14 10:00:00-05:00,2025-02-14,10:00
401750741,Kansas St,Washington,,,,,,2025-02-14T16:30Z,2025-02-14 16:30:00+00:00,,,,
401750537,Virginia Tech,Bucknell,English Field,Blacksburg,VA,37.2178202,-80.4233836,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,America/New_York,2025-02-14 13:00:00-05:00,2025-02-14,13:00
401750469,Pitt,E Michigan,,,,,,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,,,,
401748420,Lipscomb,Kentucky,Ken Dugan Field at Stephen Lee Marsh Stadium,Nashville,TN,36.1622767,-86.7742984,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,America/Chicago,2025-02-14 12:00:00-06:00,2025-02-14,12:00
401751882,Purdue,SF Austin,Alexander Field,West Lafayette,IN,40.437702,-86.9411864,2025-02-14T19:00Z,2025-02-14 19:00:00+00:00,America/Indiana/Indianapolis,2025-02-14 14:00:00-05:00,2025-02-14,14:00
401751110,Kennesaw St,Rutgers,,,,,,2025-02-14T19:00Z,2025-02-14 19:00:00+00:00,,,,
401750890,Illinois,Abilene Chrstn,Illinois Field,Champaign,IL,40.096983,-88.2295939,2025-02-14T19:00Z,2025-02-14 19:00:00+00:00,America/Chicago,2025-02-14 13:00:00-06:00,2025-02-14,13:00
401750215,SC Upstate,Boston College,,,,,,2025-02-14T20:00Z,2025-02-14 20:00:00+00:00,,,,
401748523,Oklahoma,Lehigh,L. Dale Mitchell Baseball Park,Norman,OK,35.2225717,-97.4394816,2025-02-14T20:00Z,2025-02-14 20:00:00+00:00,America/Chicago,2025-02-14 14:00:00-06:00,2025-02-14,14:00
401750653,Baylor,Youngstown St,Baylor Ballpark,Waco,TX,31.5512504,-97.1077111,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/Chicago,2025-02-14 15:00:00-06:00,2025-02-14,15:00
401750335,Georgia Tech,Old Dominion,Russ Chandler Stadium,Atlanta,GA,33.7776564,-84.3946352,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/New_York,2025-02-14 16:00:00-05:00,2025-02-14,16:00
401748577,South Carolina,Sacred Heart,Founders Park,Columbia,SC,33.9866662,-81.0427024,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/New_York,2025-02-14 16:00:00-05:00,2025-02-14,16:00
401748489,Penn State,Missouri,Medlar Field at Lubrano Park,University Park,PA,40.8123475,-77.8520788,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/New_York,2025-02-14 16:00:00-05:00,2025-02-14,16:00
401750991,W Michigan,Michigan St,,,,,,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,,,,
401750949,Maryland,UAB,Shipley Field,College Park,MD,38.9892976,-76.9444091,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,America/New_York,2025-02-14 16:30:00-05:00,2025-02-14,16:30
401750844,Pepperdine,Utah,Eddy D. Field Stadium,Malibu[x],CA,34.035591,-118.689423,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,America/Los_Angeles,2025-02-14 13:30:00-08:00,2025-02-14,13:30
401750538,Virginia Tech,Bucknell,English Field,Blacksburg,VA,37.2178202,-80.4233836,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,America/New_York,2025-02-14 16:30:00-05:00,2025-02-14,16:30
401748421,Lipscomb,Kentucky,Ken Dugan Field at Stephen Lee Marsh Stadium,Nashville,TN,36.1622767,-86.7742984,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,America/Chicago,2025-02-14 15:30:00-06:00,2025-02-14,15:30
401746128,Alabama,Bradley,Sewell–Thomas Stadium,Tuscaloosa,AL,33.204971,-87.5385738,2025-02-14T22:00Z,2025-02-14 22:00:00+00:00,America/Chicago,2025-02-14 16:00:00-06:00,2025-02-14,16:00
401751883,Purdue,SF Austin,Alexander Field,West Lafayette,IN,40.437702,-86.9411864,2025-02-14T22:30Z,2025-02-14 22:30:00+00:00,America/Indiana/Indianapolis,2025-02-14 17:30:00-05:00,2025-02-14,17:30
