espn_id,displayName,shortDisplayName,name,abbreviation,location,slug,color,logo_default,logo_dark
397,New Hampshire Wildcats,New Hampshire,Wildcats,UNH,New Hampshire,new-hampshire-wildcats,004371,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/160.png
104,New Mexico Lobos,New Mexico,Lobos,UNM,New Mexico,new-mexico-lobos,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/167.png
103,New Mexico State Aggies,New Mexico St,Aggies,NMSU,New Mexico State,new-mexico-state-aggies,730000,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/166.png
184,New Orleans Privateers,New Orleans,Privateers,UNO,New Orleans,new-orleans-privateers,2B3986,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2443.png
398,Niagara Purple Eagles,Niagara,Purple Eagles,NIA,Niagara,niagara-purple-eagles,641460,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/315.png
399,Nicholls Colonels,Nicholls,Colonels,NICH,Nicholls,nicholls-colonels,2a5074,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2447.png
400,Norfolk State Spartans,Norfolk St,Spartans,NORF,Norfolk State,norfolk-state-spartans,08614f,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2450.png
1103,North Alabama Lions,North Alabama,Lions,UNA,North Alabama,north-alabama-lions,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2453.png
401,North Carolina A&T Aggies,NC A&T,Aggies,NCAT,North Carolina A&T,north-carolina-at-aggies,0505aa,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2448.png
402,North Carolina Central Eagles,NC Central,Eagles,NCCU,North Carolina Central,north-carolina-central-eagles,860016,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2428.png
96,North Carolina Tar Heels,North Carolina,Tar Heels,UNC,North Carolina,north-carolina-tar-heels,002942,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/153.png
403,North Dakota Fighting Hawks,North Dakota,Fighting Hawks,UND,North Dakota,north-dakota-fighting-hawks,00a15e,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/155.png
